0	0	5641
0	1	7038
0	1	3213
0	1	4117
0	1	6161
0	1	3155
0	1	2495
0	1	1454
0	1	6510
0	1	2907
0	1	2447
0	1	7334
0	1	14
0	1	7814
0	1	6637
0	1	5063
0	1	3406
0	1	3351
0	1	1291
0	1	6045
0	2	7294
1	1	7814
1	2	3267
2	1	6510
2	2	6003
3	0	7048
3	1	7038
3	1	1454
3	1	2907
3	1	6637
3	1	4925
3	1	3406
3	1	3351
3	1	4
3	1	14
3	1	7814
3	1	3213
3	1	2802
3	1	2495
3	1	2447
3	1	7334
3	1	6161
3	1	4117
3	1	3155
3	1	6510
3	1	1291
3	1	6045
3	2	6283
4	1	6510
4	2	281
5	1	6510
5	2	7606
6	1	6510
6	2	5083
7	1	7038
7	2	6248
8	1	7038
8	2	6650
9	1	6510
9	2	5309
10	1	7038
10	2	1612
11	0	620
11	1	7038
11	1	1454
11	1	2907
11	1	6637
11	1	4925
11	1	3406
11	1	3351
11	1	4
11	1	14
11	1	7814
11	1	3213
11	1	2802
11	1	2495
11	1	7334
11	1	6161
11	1	4117
11	1	3155
11	1	6510
11	1	1291
11	1	6045
11	2	1335
12	0	620
12	1	2802
12	1	4117
12	1	3155
12	1	2495
12	1	6510
12	1	2907
12	1	14
12	2	1231
13	0	620
13	1	4117
13	1	3155
13	1	6510
13	1	14
13	1	7814
13	1	3351
13	2	7487
14	0	1093
14	1	2802
14	1	7038
14	1	4117
14	1	6451
14	1	2495
14	1	6510
14	1	2907
14	1	7334
14	1	14
14	1	6637
14	1	3213
14	1	6045
14	2	5269
15	1	6510
15	2	4824
16	0	1093
16	1	7038
16	1	1454
16	1	2907
16	1	5063
16	1	6637
16	1	3406
16	1	3351
16	1	6451
16	1	4
16	1	14
16	1	3213
16	1	2802
16	1	2495
16	1	2447
16	1	7334
16	1	6161
16	1	4117
16	1	3155
16	1	6510
16	1	1291
16	1	6045
16	2	4395
17	1	6510
17	2	7777
18	0	1093
18	1	7038
18	1	3213
18	1	4117
18	1	4
18	1	3155
18	1	2495
18	1	6510
18	1	2907
18	1	1291
18	1	7334
18	1	14
18	1	6637
18	1	4925
18	1	3406
18	1	3351
18	1	6045
18	2	1085
19	1	6510
19	2	1838
20	1	6510
20	2	4265
21	1	3155
21	2	4612
22	0	3720
22	1	7038
22	1	4117
22	1	6161
22	1	4
22	1	3155
22	1	2495
22	1	1454
22	1	6510
22	1	2907
22	1	2447
22	1	7334
22	1	14
22	1	7814
22	1	6637
22	1	1291
